" "," "," "," "," ",Totals:," $171,331.39 ",685.32556
MSFT,4/8/2020 8:45,458,165.93,buy," "," nan ",nan
MSFT,4/9/2020 7:00,458,166.48,sell," "," $251.90 ",0.33%
MSFT,4/13/2020 12:45,463,164.88,buy," "," nan ",nan
MSFT,4/15/2020 6:30,463,170.89,sell," "," $2,782.63 ",3.65%
MSFT,4/15/2020 7:45,460,171.81,buy," "," nan ",nan
MSFT,4/16/2020 9:15,460,175.36,sell," "," $1,633.00 ",2.07%
MSFT,4/16/2020 12:30,459,175.86,buy," "," nan ",nan
MSFT,4/17/2020 8:15,459,178.13,sell," "," $1,041.93 ",1.29%
MSFT,4/21/2020 10:30,483,169.2,buy," "," nan ",nan
MSFT,4/21/2020 11:30,483,170.57,sell," "," $661.71 ",0.81%
MSFT,4/22/2020 6:30,481,171.4,buy," "," nan ",nan
MSFT,4/23/2020 9:30,481,174.19,sell," "," $1,341.99 ",1.63%
MSFT,4/24/2020 9:45,483,173.47,buy," "," nan ",nan
MSFT,4/27/2020 9:45,483,174.33,sell," "," $415.38 ",0.50%
MSFT,4/29/2020 6:30,486,173.22,buy," "," nan ",nan
MSFT,4/30/2020 8:45,486,178.65,sell," "," $2,638.98 ",3.13%
MSFT,5/4/2020 7:15,491,176.69,buy," "," nan ",nan
MSFT,5/5/2020 12:15,491,183.44,sell," "," $3,314.25 ",3.82%
MSFT,5/6/2020 6:45,492,182.99,buy," "," nan ",nan
MSFT,5/12/2020 11:00,492,186.15,sell," "," $1,554.72 ",1.73%
MSFT,5/13/2020 7:30,500,183.34,buy," "," nan ",nan
MSFT,5/13/2020 8:15,500,182.7,sell," "," $(320.00)",-0.35%
MSFT,5/13/2020 10:00,509,179.55,buy," "," nan ",nan
MSFT,5/14/2020 6:45,509,178.34,sell," "," $(615.89)",-0.67%
MSFT,5/14/2020 12:15,508,178.52,buy," "," nan ",nan
MSFT,5/15/2020 7:15,508,179.59,sell," "," $543.56 ",0.60%
MSFT,5/15/2020 9:30,507,179.88,buy," "," nan ",nan
MSFT,5/19/2020 12:45,507,184.93,sell," "," $2,560.35 ",2.81%
MSFT,5/21/2020 6:45,503,186.57,buy," "," nan ",nan
MSFT,5/21/2020 11:30,503,184.41,sell," "," $(1,086.48)",-1.16%
MSFT,5/26/2020 6:30,498,186.34,buy," "," nan ",nan
MSFT,5/26/2020 8:00,498,183.74,sell," "," $(1,294.80)",-1.40%
MSFT,5/27/2020 9:45,509,179.47,buy," "," nan ",nan
MSFT,5/28/2020 12:45,509,182.28,sell," "," $1,430.29 ",1.57%
MSFT,5/29/2020 11:30,507,183.28,buy," "," nan ",nan
MSFT,6/1/2020 6:30,507,182.36,sell," "," $(466.44)",-0.50%
MSFT,6/2/2020 6:30,502,184.21,buy," "," nan ",nan
MSFT,6/4/2020 9:00,502,183.82,sell," "," $(195.78)",-0.21%
MSFT,6/5/2020 6:45,499,184.77,buy," "," nan ",nan
MSFT,6/8/2020 6:45,499,185.64,sell," "," $434.13 ",0.47%
MSFT,6/8/2020 10:45,494,187.6,buy," "," nan ",nan
MSFT,6/11/2020 6:30,494,193.26,sell," "," $2,796.04 ",3.02%
MSFT,6/11/2020 7:00,490,194.94,buy," "," nan ",nan
MSFT,6/11/2020 7:45,490,194.72,sell," "," $(107.80)",-0.11%
MSFT,6/12/2020 6:30,500,190.49,buy," "," nan ",nan
MSFT,6/12/2020 7:45,500,189.96,sell," "," $(265.00)",-0.28%
MSFT,6/12/2020 9:00,501,189.84,buy," "," nan ",nan
MSFT,6/12/2020 10:15,501,187.72,sell," "," $(1,062.12)",-1.12%
MSFT,6/15/2020 7:00,502,187.13,buy," "," nan ",nan
MSFT,6/16/2020 7:45,502,194.28,sell," "," $3,589.30 ",3.82%
MSFT,6/17/2020 6:30,500,195.09,buy," "," nan ",nan
MSFT,6/17/2020 12:45,500,194.33,sell," "," $(380.00)",-0.39%
MSFT,6/19/2020 6:30,490,198.29,buy," "," nan ",nan
MSFT,6/19/2020 9:00,490,197.02,sell," "," $(622.30)",-0.64%
MSFT,6/22/2020 7:15,488,198,buy," "," nan ",nan
MSFT,6/24/2020 6:45,488,202.48,sell," "," $2,186.24 ",2.26%
MSFT,6/25/2020 9:30,498,198.46,buy," "," nan ",nan
MSFT,6/26/2020 6:30,498,199.76,sell," "," $647.40 ",0.66%
MSFT,6/26/2020 8:45,502,197.97,buy," "," nan ",nan
MSFT,6/26/2020 12:45,502,197.6,sell," "," $(185.74)",-0.19%
MSFT,6/29/2020 8:30,503,197.3,buy," "," nan ",nan
MSFT,7/7/2020 10:00,503,212.96,sell," "," $7,876.98 ",7.94%
MSFT,7/8/2020 6:45,506,211.7,buy," "," nan ",nan
MSFT,7/8/2020 8:15,506,210.47,sell," "," $(622.38)",-0.58%
MSFT,7/8/2020 12:00,501,212.45,buy," "," nan ",nan
MSFT,7/9/2020 7:30,501,214.46,sell," "," $1,007.01 ",0.95%
MSFT,7/13/2020 6:30,501,214.47,buy," "," nan ",nan
MSFT,7/13/2020 11:00,501,214.01,sell," "," $(230.46)",-0.21%
MSFT,7/14/2020 6:45,516,208.02,buy," "," nan ",nan
MSFT,7/15/2020 8:00,516,209.24,sell," "," $629.52 ",0.59%
MSFT,7/20/2020 6:30,526,205,buy," "," nan ",nan
MSFT,7/21/2020 8:30,526,210.4,sell," "," $2,840.40 ",2.63%
MSFT,7/21/2020 11:15,523,211.61,buy," "," nan ",nan
MSFT,7/21/2020 12:45,523,209.24,sell," "," $(1,239.51)",-1.12%
MSFT,7/22/2020 9:15,518,211.53,buy," "," nan ",nan
MSFT,7/23/2020 7:00,518,209.63,sell," "," $(984.20)",-0.90%
MSFT,7/24/2020 7:30,539,201.42,buy," "," nan ",nan
MSFT,7/24/2020 10:00,539,201.01,sell," "," $(220.99)",-0.20%
MSFT,7/27/2020 11:30,532,203.38,buy," "," nan ",nan
MSFT,7/28/2020 12:45,532,202.48,sell," "," $(478.80)",-0.44%
MSFT,7/30/2020 8:45,532,202.58,buy," "," nan ",nan
MSFT,7/31/2020 6:45,532,202.41,sell," "," $(90.44)",-0.08%
MSFT,7/31/2020 12:00,532,202.59,buy," "," nan ",nan
MSFT,8/3/2020 7:00,532,212.97,sell," "," $5,522.16 ",5.12%
MSFT,8/3/2020 11:00,527,214.98,buy," "," nan ",nan
MSFT,8/4/2020 6:30,527,214.24,sell," "," $(389.98)",-0.34%
MSFT,8/5/2020 6:30,525,214.89,buy," "," nan ",nan
MSFT,8/7/2020 8:15,525,214.93,sell," "," $21.00 ",0.02%
MSFT,8/11/2020 9:30,545,207.14,buy," "," nan ",nan
MSFT,8/11/2020 12:15,545,205.55,sell," "," $(866.55)",-0.77%
MSFT,8/12/2020 7:00,541,207.13,buy," "," nan ",nan
MSFT,8/13/2020 11:00,541,209.84,sell," "," $1,466.11 ",1.31%
MSFT,8/18/2020 6:45,537,211.44,buy," "," nan ",nan
MSFT,8/19/2020 12:45,537,210.38,sell," "," $(569.22)",-0.50%
MSFT,8/20/2020 9:15,532,212.2,buy," "," nan ",nan
MSFT,8/21/2020 8:45,532,213.89,sell," "," $899.08 ",0.80%
MSFT,8/25/2020 7:45,527,215.78,buy," "," nan ",nan
MSFT,8/26/2020 10:00,527,220.09,sell," "," $2,271.37 ",2.00%
MSFT,8/27/2020 6:30,520,223.05,buy," "," nan ",nan
MSFT,8/27/2020 9:15,520,228.45,sell," "," $2,808.00 ",2.42%
MSFT,8/27/2020 11:15,521,228.2,buy," "," nan ",nan
MSFT,8/28/2020 10:00,521,228.51,sell," "," $161.51 ",0.14%
MSFT,9/2/2020 6:30,522,227.91,buy," "," nan ",nan
MSFT,9/2/2020 8:45,522,229,sell," "," $568.98 ",0.48%
MSFT,9/2/2020 10:30,515,232.36,buy," "," nan ",nan
MSFT,9/3/2020 6:30,515,229.27,sell," "," $(1,591.35)",-1.33%
MSFT,9/4/2020 8:15,565,208.97,buy," "," nan ",nan
MSFT,9/4/2020 12:30,565,217.76,sell," "," $4,966.35 ",4.21%
MSFT,9/8/2020 7:15,588,209.19,buy," "," nan ",nan
MSFT,9/8/2020 8:15,588,207.59,sell," "," $(940.80)",-0.76%
MSFT,9/9/2020 6:30,588,207.6,buy," "," nan ",nan
MSFT,9/9/2020 12:30,588,214.64,sell," "," $4,139.52 ",3.39%
MSFT,9/11/2020 6:30,608,207.4,buy," "," nan ",nan
MSFT,9/11/2020 8:30,608,206.37,sell," "," $(626.24)",-0.50%
MSFT,9/11/2020 12:30,614,204.36,buy," "," nan ",nan
MSFT,9/14/2020 10:00,614,206.94,sell," "," $1,584.12 ",1.26%
MSFT,9/15/2020 6:30,610,208.42,buy," "," nan ",nan
MSFT,9/15/2020 7:30,610,208.12,sell," "," $(183.00)",-0.14%
MSFT,9/16/2020 6:30,603,210.61,buy," "," nan ",nan
MSFT,9/16/2020 12:00,603,207.13,sell," "," $(2,098.44)",-1.65%
MSFT,9/17/2020 7:00,615,203.11,buy," "," nan ",nan
MSFT,9/17/2020 8:45,615,202.19,sell," "," $(565.80)",-0.45%
MSFT,9/18/2020 12:15,623,199.49,buy," "," nan ",nan
MSFT,9/21/2020 6:30,623,196.81,sell," "," $(1,669.64)",-1.34%
MSFT,9/21/2020 9:30,613,199.96,buy," "," nan ",nan
MSFT,9/23/2020 7:00,613,205.53,sell," "," $3,414.41 ",2.79%
MSFT,9/24/2020 7:00,623,202.42,buy," "," nan ",nan
MSFT,9/24/2020 11:15,623,204.31,sell," "," $1,177.47 ",0.93%
MSFT,9/25/2020 7:30,620,205.03,buy," "," nan ",nan
MSFT,9/28/2020 7:30,620,209.72,sell," "," $2,907.80 ",2.29%
MSFT,9/30/2020 8:15,619,210.13,buy," "," nan ",nan
MSFT,9/30/2020 12:15,619,210.01,sell," "," $(74.28)",-0.06%
MSFT,10/1/2020 6:30,610,213.26,buy," "," nan ",nan
MSFT,10/2/2020 6:30,610,208,sell," "," $(3,208.60)",-2.47%
MSFT,10/5/2020 7:15,607,209.05,buy," "," nan ",nan
MSFT,10/6/2020 8:15,607,208.53,sell," "," $(315.64)",-0.25%
MSFT,10/7/2020 7:00,609,207.9,buy," "," nan ",nan
MSFT,10/12/2020 12:45,609,221.86,sell," "," $8,501.64 ",6.71%
MSFT,10/13/2020 8:30,603,223.81,buy," "," nan ",nan
MSFT,10/14/2020 7:15,603,222.65,sell," "," $(699.48)",-0.52%
MSFT,10/15/2020 11:15,612,219.3,buy," "," nan ",nan
MSFT,10/16/2020 12:45,612,220.31,sell," "," $618.12 ",0.46%
MSFT,10/20/2020 7:15,621,217.19,buy," "," nan ",nan
MSFT,10/20/2020 12:45,621,215.59,sell," "," $(993.60)",-0.74%
MSFT,10/21/2020 11:30,619,216.33,buy," "," nan ",nan
MSFT,10/22/2020 6:45,619,215.31,sell," "," $(631.38)",-0.47%
MSFT,10/22/2020 11:00,620,214.91,buy," "," nan ",nan
MSFT,10/26/2020 7:45,620,214.16,sell," "," $(465.00)",-0.35%
MSFT,10/27/2020 6:30,628,211.62,buy," "," nan ",nan
MSFT,10/28/2020 6:30,628,207.6,sell," "," $(2,524.56)",-1.90%
MSFT,10/29/2020 7:30,635,205.22,buy," "," nan ",nan
MSFT,10/29/2020 12:45,635,206.08,sell," "," $546.10 ",0.42%
MSFT,11/2/2020 6:30,641,204.27,buy," "," nan ",nan
MSFT,11/2/2020 8:00,641,203.07,sell," "," $(769.20)",-0.59%
MSFT,11/3/2020 6:30,639,203.7,buy," "," nan ",nan
MSFT,11/3/2020 10:45,639,206.56,sell," "," $1,827.54 ",1.40%
MSFT,11/4/2020 6:30,616,214.02,buy," "," nan ",nan
MSFT,11/6/2020 6:30,616,222.11,sell," "," $4,983.44 ",3.78%
MSFT,11/6/2020 8:15,617,221.71,buy," "," nan ",nan
MSFT,11/9/2020 9:00,617,224.91,sell," "," $1,974.40 ",1.44%
MSFT,11/11/2020 6:45,645,215.25,buy," "," nan ",nan
MSFT,11/12/2020 8:30,645,217.32,sell," "," $1,335.15 ",0.96%
MSFT,11/16/2020 8:15,645,217.39,buy," "," nan ",nan
MSFT,11/17/2020 11:45,645,215.63,sell," "," $(1,135.20)",-0.81%
MSFT,11/24/2020 8:15,657,211.64,buy," "," nan ",nan
MSFT,11/30/2020 6:30,657,214.16,sell," "," $1,655.64 ",1.19%
MSFT,12/1/2020 6:30,656,214.5,buy," "," nan ",nan
MSFT,12/2/2020 6:30,656,214.89,sell," "," $255.84 ",0.18%
MSFT,12/3/2020 7:15,652,216.09,buy," "," nan ",nan
MSFT,12/4/2020 11:00,652,213.51,sell," "," $(1,682.16)",-1.19%
MSFT,12/8/2020 9:30,644,216.27,buy," "," nan ",nan
MSFT,12/9/2020 6:30,644,215.22,sell," "," $(676.20)",-0.49%
MSFT,12/11/2020 10:45,653,212.31,buy," "," nan ",nan
MSFT,12/15/2020 6:30,653,215.17,sell," "," $1,867.58 ",1.35%
MSFT,12/16/2020 6:45,652,215.58,buy," "," nan ",nan
MSFT,12/18/2020 7:00,652,218.17,sell," "," $1,688.68 ",1.20%
MSFT,12/21/2020 8:30,648,219.39,buy," "," nan ",nan
MSFT,12/23/2020 6:30,648,223.12,sell," "," $2,417.04 ",1.70%
MSFT,12/28/2020 6:30,644,224.45,buy," "," nan ",nan
MSFT,12/29/2020 9:30,644,224.59,sell," "," $90.16 ",0.06%
MSFT,1/5/2021 6:45,663,218.1,buy," "," nan ",nan
MSFT,1/6/2021 6:30,663,212.18,sell," "," $(3,924.96)",-2.71%
MSFT,1/6/2021 7:45,653,215.64,buy," "," nan ",nan
MSFT,1/6/2021 12:15,653,214.09,sell," "," $(1,012.15)",-0.72%
MSFT,1/7/2021 6:45,646,216.24,buy," "," nan ",nan
MSFT,1/8/2021 8:30,646,218.03,sell," "," $1,156.34 ",0.83%
MSFT,1/13/2021 12:45,650,216.69,buy," "," nan ",nan
MSFT,1/14/2021 9:30,650,214.51,sell," "," $(1,417.00)",-1.01%
MSFT,1/19/2021 10:15,648,215.36,buy," "," nan ",nan
MSFT,1/21/2021 6:30,648,224.76,sell," "," $6,091.20 ",4.36%
MSFT,1/21/2021 9:45,645,225.77,buy," "," nan ",nan
MSFT,1/22/2021 10:30,645,227.47,sell," "," $1,096.50 ",0.75%
MSFT,1/25/2021 6:30,640,229.19,buy," "," nan ",nan
MSFT,1/25/2021 7:45,640,228.47,sell," "," $(460.80)",-0.31%
MSFT,1/25/2021 10:00,642,227.6,buy," "," nan ",nan
MSFT,1/27/2021 8:15,642,238.76,sell," "," $7,164.72 ",4.90%
MSFT,1/28/2021 6:30,651,235.57,buy," "," nan ",nan
MSFT,1/28/2021 12:15,651,240.8,sell," "," $3,404.73 ",2.22%
MSFT,1/29/2021 7:30,659,237.79,buy," "," nan ",nan
MSFT,1/29/2021 8:15,659,235.09,sell," "," $(1,779.30)",-1.14%
MSFT,2/1/2021 6:30,659,235.09,buy," "," nan ",nan
MSFT,2/1/2021 12:45,659,240.16,sell," "," $3,341.13 ",2.16%
MSFT,2/3/2021 7:00,653,242.56,buy," "," nan ",nan
MSFT,2/4/2021 6:30,653,242.75,sell," "," $124.07 ",0.08%
MSFT,2/9/2021 7:15,648,244.71,buy," "," nan ",nan
MSFT,2/10/2021 7:30,648,242.56,sell," "," $(1,393.20)",-0.88%
MSFT,2/11/2021 6:30,642,244.52,buy," "," nan ",nan
MSFT,2/17/2021 6:30,642,241.32,sell," "," $(2,054.40)",-1.31%
MSFT,2/23/2021 7:30,666,232.73,buy," "," nan ",nan
MSFT,2/23/2021 9:30,666,232.29,sell," "," $(293.04)",-0.19%
MSFT,2/23/2021 12:15,662,233.86,buy," "," nan ",nan
MSFT,2/24/2021 6:30,662,230.01,sell," "," $(2,548.70)",-1.65%
MSFT,2/24/2021 9:45,654,232.77,buy," "," nan ",nan
MSFT,2/25/2021 7:30,654,232.83,sell," "," $39.24 ",0.03%
MSFT,2/25/2021 11:30,656,232.05,buy," "," nan ",nan
MSFT,2/26/2021 12:45,656,234.11,sell," "," $1,351.36 ",0.89%
MSFT,3/1/2021 6:30,651,235.9,buy," "," nan ",nan
MSFT,3/2/2021 6:45,651,235.19,sell," "," $(462.21)",-0.30%
MSFT,3/4/2021 7:45,666,229.89,buy," "," nan ",nan
MSFT,3/4/2021 9:15,666,230.12,sell," "," $153.18 ",0.10%
MSFT,3/5/2021 6:30,668,229.57,buy," "," nan ",nan
MSFT,3/8/2021 6:30,668,231.42,sell," "," $1,235.80 ",0.81%
MSFT,3/9/2021 6:30,663,232.88,buy," "," nan ",nan
MSFT,3/10/2021 10:15,663,234.4,sell," "," $1,007.76 ",0.65%
MSFT,3/11/2021 7:15,660,235.55,buy," "," nan ",nan
MSFT,3/12/2021 6:30,660,234.07,sell," "," $(976.80)",-0.63%
MSFT,3/16/2021 6:30,654,236.3,buy," "," nan ",nan
MSFT,3/16/2021 11:15,654,237.96,sell," "," $1,085.64 ",0.70%
MSFT,3/17/2021 11:45,655,237.74,buy," "," nan ",nan
MSFT,3/18/2021 6:30,655,232.35,sell," "," $(3,530.45)",-2.27%
MSFT,3/22/2021 7:00,651,233.62,buy," "," nan ",nan
MSFT,3/23/2021 12:15,651,238.67,sell," "," $3,287.55 ",2.16%
MSFT,3/26/2021 10:15,661,235.23,buy," "," nan ",nan
MSFT,3/29/2021 6:45,661,234.68,sell," "," $(363.55)",-0.23%
MSFT,3/31/2021 7:15,661,234.65,buy," "," nan ",nan
MSFT,3/31/2021 12:45,661,236.9,sell," "," $1,487.25 ",0.96%
MSFT,4/1/2021 6:45,653,239.76,buy," "," nan ",nan
MSFT,4/14/2021 10:45,653,256.46,sell," "," $10,905.10 ",6.97%
MSFT,4/15/2021 6:45,646,259.16,buy," "," nan ",nan
MSFT,4/20/2021 8:15,646,258.15,sell," "," $(652.46)",-0.39%
MSFT,4/22/2021 6:45,638,261.23,buy," "," nan ",nan
MSFT,4/22/2021 10:15,638,259.53,sell," "," $(1,084.60)",-0.65%
MSFT,4/23/2021 8:00,638,259.82,buy," "," nan ",nan
MSFT,4/28/2021 6:30,638,256.08,sell," "," $(2,386.12)",-1.44%
MSFT,4/30/2021 7:30,646,252.8,buy," "," nan ",nan
MSFT,5/3/2021 10:15,646,252.13,sell," "," $(432.82)",-0.27%
MSFT,5/6/2021 12:45,655,248.45,buy," "," nan ",nan
MSFT,5/10/2021 6:30,655,250.87,sell," "," $1,585.10 ",0.97%
MSFT,5/11/2021 8:30,667,246.39,buy," "," nan ",nan
MSFT,5/12/2021 6:30,667,242.15,sell," "," $(2,828.08)",-1.72%
MSFT,5/13/2021 6:30,668,241.86,buy," "," nan ",nan
MSFT,5/13/2021 8:30,668,243.72,sell," "," $1,242.48 ",0.77%
MSFT,5/14/2021 6:30,663,245.54,buy," "," nan ",nan
MSFT,5/17/2021 6:30,663,246.6,sell," "," $702.78 ",0.43%
MSFT,5/19/2021 10:15,675,242.46,buy," "," nan ",nan
MSFT,5/27/2021 12:45,675,250.03,sell," "," $5,109.75 ",3.12%
MSFT,6/4/2021 6:30,681,247.77,buy," "," nan ",nan
MSFT,6/8/2021 8:45,681,253.55,sell," "," $3,936.18 ",2.33%
MSFT,6/10/2021 8:45,673,256.45,buy," "," nan ",nan
MSFT,6/16/2021 11:00,673,258.52,sell," "," $1,393.11 ",0.81%
MSFT,6/17/2021 7:30,673,258.43,buy," "," nan ",nan
MSFT,6/25/2021 9:45,673,265.26,sell," "," $4,596.59 ",2.64%
MSFT,6/29/2021 6:30,664,268.88,buy," "," nan ",nan
MSFT,7/6/2021 9:30,664,276.5,sell," "," $5,059.68 ",2.83%
MSFT,7/7/2021 6:30,657,279.4,buy," "," nan ",nan
MSFT,7/8/2021 6:30,657,276.82,sell," "," $(1,695.06)",-0.92%
MSFT,7/13/2021 6:45,652,279.09,buy," "," nan ",nan
MSFT,7/15/2021 9:00,652,280.75,sell," "," $1,082.32 ",0.59%
MSFT,7/20/2021 8:45,657,278.57,buy," "," nan ",nan
MSFT,7/26/2021 7:15,657,287.34,sell," "," $5,761.89 ",3.15%
MSFT,7/28/2021 6:30,653,288.99,buy," "," nan ",nan
MSFT,7/28/2021 9:30,653,287.11,sell," "," $(1,227.64)",-0.65%
MSFT,8/5/2021 7:15,651,288,buy," "," nan ",nan
MSFT,8/10/2021 7:30,651,287.99,sell," "," $(6.51)",0.00%
MSFT,8/12/2021 8:00,648,289.5,buy," "," nan ",nan
MSFT,8/16/2021 7:15,648,291.83,sell," "," $1,509.84 ",0.80%
MSFT,8/19/2021 8:15,645,293.18,buy," "," nan ",nan
